BE26,BLK 207/212/216/217 BISHAN STREET 23,1.355895235,103.8484525,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,SUN & PH FR 7AM-10.30PM,NO
BE27,BLK 212A BISHAN STREET 23,1.356656214,103.8486269,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BE28,"BLK 213-215 & 218-227 BISHAN STREET 23",1.357925784,103.8480463,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,SUN & PH FR 7AM-10.30PM,NO
BE29,BLK 228-231 BISHAN STREET 23,1.3574527,103.8458973,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,SUN & PH FR 7AM-10.30PM,NO
BE3,BLK 401-408 SIN MING AVE,1.36236382,103.8344063,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO
BE3R,BLK 410A SIN MING AVE,1.36316581,103.8354413,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES
BE3T,SIN MING AVE,1.361119021,103.8315773,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO
BE30,BLK 231A BISHAN STREET 23,1.357463972,103.8464417,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BE31,BLK 232-237 BISHAN STREET 22,1.358866864,103.8460917,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,SUN & PH FR 7AM-10.30PM,NO
BE32,BLK 237A BISHAN STREET 22,1.359171016,103.8466687,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BE33,BLK 238-245 BISHAN STREET 22,1.3601707,103.8448168,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,SUN & PH FR 7AM-10.30PM,NO
BE34,BLK 246A BISHAN STREET 22,1.360961036,103.8436187,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BE35,BLK 246-256 BISHAN STREET 22,1.361420683,103.8430817,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,SUN & PH FR 7AM-10.30PM,NO
